u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width,access
549502579,1158955820,0,82251014,False,,,本丸通り,tertiary,,False,53.492,"LINESTRING (139.8854278 36.5574143, 139.8853315 36.5569395)",,,,
549502579,1158956091,0,55948779,False,,,御橋通り,tertiary,,False,90.87599999999999,"LINESTRING (139.8854278 36.5574143, 139.8854499 36.5575221, 139.8855932 36.5582207)",,,,
549502579,3800139534,0,366934965,False,4,,いちょう通り,tertiary,,False,14.484000000000002,"LINESTRING (139.8854278 36.5574143, 139.8854846 36.5574091, 139.885537 36.5574002, 139.8855853 36.557386)",,,,
549502579,957791342,0,366934965,False,4,,いちょう通り,tertiary,,True,109.50900000000001,"LINESTRING (139.8854278 36.5574143, 139.8846087 36.5574211, 139.8842018 36.5574191)",,,,
549502584,1119987983,0,444221235,False,2,64,中央通り,primary,,False,12.059,"LINESTRING (139.8830318 36.5616224, 139.8830248 36.5615141)",,,,
549502584,702348800,0,"[100524577, 100524578, 374641949]",True,3,10,"['大通り', '都橋']",primary,,False,59.94199999999999,"LINESTRING (139.8830318 36.5616224, 139.8831768 36.561612, 139.8833631 36.5615986, 139.8835278 36.5615819, 139.8836969 36.5615545)",yes,,,
549502584,1316318382,0,"[100288328, 728951906, 728951907]",False,2,64,中央通り,primary,,True,108.402,"LINESTRING (139.8830318 36.5616224, 139.8830423 36.5617123, 139.8830951 36.5621622, 139.8831035 36.5622423, 139.8831428 36.5625932)",yes,,,
549502609,1159008519,0,100524711,False,4,,いちょう通り,tertiary,,True,75.658,"LINESTRING (139.8948884 36.5550722, 139.8940946 36.5553096)",,,,
549502609,1159065239,0,100524696,False,4,,旭陵通り,tertiary,,False,95.01800000000001,"LINESTRING (139.8948884 36.5550722, 139.8948599 36.5548453, 139.8948257 36.5546245, 139.8948071 36.5545207, 139.8947805 36.5543999, 139.8947333 36.5542276)",,,,
549502609,1159065247,0,135162076,False,2,1,水戸街道,primary,,True,61.664,"LINESTRING (139.8948884 36.5550722, 139.8952641 36.5549772, 139.8955473 36.5549067)",,,,
549502609,3706470475,0,374638527,False,4,1,川向銀座通り,primary,,True,111.24900000000001,"LINESTRING (139.8948884 36.5550722, 139.8949104 36.5552339, 139.8949402 36.5553847, 139.8949776 36.5555621, 139.8950183 36.5557331, 139.8950673 36.5559047, 139.8951157 36.5560548)",,,,
549502619,549502623,0,100524614,False,4,,上河原通り,tertiary,,False,11.889,"LINESTRING (139.8932441 36.5598788, 139.8933237 36.5599645)",,,,
549502619,1316995249,0,55945520,True,3,1,大通り,primary,,False,155.13299999999998,"LINESTRING (139.8932441 36.5598788, 139.8924175 36.5600334, 139.8915547 36.5602028)",,,,
549502619,1159008651,0,100524614,False,4,,上河原通り,tertiary,,True,84.819,"LINESTRING (139.8932441 36.5598788, 139.8931553 36.5597844, 139.8926716 36.5592702)",,,,
549502623,549502619,0,100524614,False,4,,上河原通り,tertiary,,True,11.889,"LINESTRING (139.8933237 36.5599645, 139.8932441 36.5598788)",,,,
549502623,1159160421,0,304613219,True,3,1,大通り,primary,,False,82.675,"LINESTRING (139.8933237 36.5599645, 139.8942308 36.5598164)",,,,
549502623,1119987524,0,100524614,False,4,,上河原通り,tertiary,,False,90.459,"LINESTRING (139.8933237 36.5599645, 139.8934018 36.560066, 139.8937256 36.5604865, 139.8938784 36.5606441)",,,,
549502625,1159160400,0,43529938,False,,,,tertiary,,True,168.211,"LINESTRING (139.8966345 36.5616928, 139.8972096 36.5614718, 139.8973293 36.5614258, 139.8974502 36.5613523, 139.8975259 36.5612893, 139.8975907 36.5612138, 139.8976201 36.5611467, 139.8976374 36.5610626, 139.8976369 36.5609689, 139.8975763 36.5606813, 139.8975674 36.5606305)",,,,
549502625,4493424984,0,96711513,False,4,,上河原通り,tertiary,,True,72.07600000000001,"LINESTRING (139.8966345 36.5616928, 139.8965465 36.5617319, 139.8964705 36.5617606, 139.8963705 36.5617929, 139.8962678 36.5618096, 139.896152 36.5618178, 139.8960435 36.5618188, 139.8959404 36.5618103, 139.8958603 36.5617983)",,,,
549502625,4493424987,0,365816860,False,4,125,奥州街道,secondary,,True,76.138,"LINESTRING (139.8966345 36.5616928, 139.8965912 36.5612766, 139.8965694 36.5610101)",,,,
549502625,1159160486,0,374638908,False,4,125,奥州街道,secondary,,False,77.313,"LINESTRING (139.8966345 36.5616928, 139.8966415 36.5617659, 139.8966475 36.5618142, 139.8966569 36.5618554, 139.8966721 36.561893, 139.8967096 36.5619564, 139.8969376 36.5623364)",,,,
549502629,4493424984,0,96711513,False,4,,上河原通り,tertiary,,False,3.606,"LINESTRING (139.8958206 36.5617924, 139.8958603 36.5617983)",,,,
549502629,2005924740,0,96711513,False,4,,上河原通り,tertiary,,True,14.449,"LINESTRING (139.8958206 36.5617924, 139.8956742 36.5617371)",,,,
549502629,2005924743,0,100288343,False,,,,unclassified,,False,13.34,"LINESTRING (139.8958206 36.5617924, 139.8957647 36.5618821, 139.8957538 36.5618997)",,,,
549502650,1161016223,0,43529941,False,4,123,水戸街道,trunk,,False,48.95,"LINESTRING (139.907665 36.5520524, 139.9077569 36.5520441, 139.9078285 36.5520381, 139.9079121 36.5520245, 139.9082009 36.5519647)",,,,
549502650,1160815489,0,371542810,False,2,4,宇都宮バイパス,trunk,50,True,112.90800000000002,"LINESTRING (139.907665 36.5520524, 139.9074725 36.5518055, 139.9071379 36.5513855, 139.9069935 36.5511922)",,,,
549502650,1160815457,0,374644256,False,2,4,宇都宮バイパス,trunk,50,False,120.285,"LINESTRING (139.907665 36.5520524, 139.9078455 36.5522579, 139.9081616 36.5526436, 139.9084018 36.5529575)",,,,
549502650,8972297732,0,440570639,False,4,1,水戸街道,primary,,True,54.498000000000005,"LINESTRING (139.907665 36.5520524, 139.9072197 36.5521551, 139.9070779 36.5521857)",,,,
549502666,3708887296,0,193437726,False,,,,unclassified,,False,8.295,"LINESTRING (139.9313193 36.5474961, 139.9312928 36.5474246)",,,,
549502666,1675993744,0,155180979,False,,,,unclassified,,True,45.622,"LINESTRING (139.9313193 36.5474961, 139.9314264 36.547812, 139.9314422 36.5478939)",,,,
549502666,1881823897,0,374658379,True,2,123,水戸街道,trunk,,False,143.424,"LINESTRING (139.9313193 36.5474961, 139.931761 36.5473763, 139.9319851 36.5473113, 139.9322956 36.5472185, 139.9328238 36.5470468)",,,,
549502694,1995010356,0,304636691,False,2,,奥州街道,tertiary,40,False,162.80599999999998,"LINESTRING (139.899676 36.5669142, 139.9005926 36.5672993, 139.9006554 36.5673268, 139.9012726 36.5676199)",,,,
549502694,1160785996,0,369199432,False,4,125,白沢街道,secondary,50,False,337.46299999999997,"LINESTRING (139.899676 36.5669142, 139.8997641 36.567055, 139.9000319 36.5674836, 139.9003215 36.5679504, 139.9004085 36.5680907, 139.9007643 36.5685603, 139.9014991 36.5695703)",,,,
549502694,1995244699,0,374643037,False,4,125,奥州街道,secondary,,True,106.9,"LINESTRING (139.899676 36.5669142, 139.8996325 36.5668479, 139.8994727 36.5665922, 139.8991526 36.5660497)",,,,
549502697,1995244671,0,100288337,False,,,,unclassified,,False,57.853,"LINESTRING (139.8985818 36.5650111, 139.897993 36.565228)",,,,
549502697,1995244699,0,374643037,False,4,125,奥州街道,secondary,,False,126.238,"LINESTRING (139.8985818 36.5650111, 139.8991526 36.5660497)",,,,
549502697,2938187506,0,290266156,False,,,,unclassified,,True,83.47399999999999,"LINESTRING (139.8985818 36.5650111, 139.899041 36.5648607, 139.899469 36.5647832)",,,,
549502697,3694899266,0,374643037,False,4,125,奥州街道,secondary,,True,119.27199999999999,"LINESTRING (139.8985818 36.5650111, 139.898257 36.5644459, 139.8980002 36.5640458)",,,,
549502698,1159160465,0,96711484,False,2,64,県庁前通り,primary,40,True,47.465,"LINESTRING (139.8977017 36.563539, 139.8971738 36.5635883)",,,,
549502698,3774592806,0,374643037,False,4,125,奥州街道,secondary,,False,27.128,"LINESTRING (139.8977017 36.563539, 139.8978301 36.5637601)",,,,
549502698,1160904099,0,"[55785554, 304522748, 55785556]",False,4,64,"['白楊高通り', '今泉アンダー']",primary,40,False,364.36799999999994,"LINESTRING (139.8977017 36.563539, 139.8979832 36.5635194, 139.8982286 36.5634991, 139.8984796 36.5634777, 139.8989091 36.5634309, 139.8999592 36.5632891, 139.9001699 36.5632444, 139.9003885 36.5631933, 139.9005796 36.5631387, 139.9008528 36.5630537, 139.9010569 36.5629934, 139.9012798 36.5629268, 139.9014724 36.5628713, 139.9016617 36.5628234)",,yes,,
549502698,3694897619,0,374638908,False,4,125,奥州街道,secondary,,True,83.73,"LINESTRING (139.8977017 36.563539, 139.8974527 36.5631613, 139.8972733 36.5628693)",,,,
549502710,4454766088,0,43529931,False,3,4,奥州街道,trunk,,False,70.326,"LINESTRING (139.9177547 36.5767718, 139.9179979 36.5769869, 139.9180518 36.5770327, 139.9181855 36.5771464, 139.9182938 36.5772327)",,,,
549502710,1995010913,0,304636684,False,2,10,奥州街道,primary,40,True,122.20700000000001,"LINESTRING (139.9177547 36.5767718, 139.9172746 36.5764809, 139.9170609 36.5763346, 139.9166997 36.5760731)",,,,
549502710,619215681,0,444236552,False,2,4,宇都宮バイパス,trunk,50,True,92.26500000000001,"LINESTRING (139.9177547 36.5767718, 139.9175683 36.5765618, 139.917473 36.5764357, 139.9173526 36.5762693, 139.9172141 36.5760658)",,,,
549502716,619215757,0,183344952,False,,,,unclassified,,False,17.809,"LINESTRING (139.9394195 36.5818896, 139.9396167 36.5818656)",,,,
549502716,1995011196,0,188864876,False,,,,unclassified,,True,16.323,"LINESTRING (139.9394195 36.5818896, 139.9392404 36.581919)",,,,
549502716,1307998064,0,48802903,True,3,4,石橋宇都宮バイパス,trunk,,False,417.581,"LINESTRING (139.9394195 36.5818896, 139.9390523 36.5827077, 139.93851 36.5836794, 139.938001 36.5844303, 139.9373757 36.5852556)",,,,
549502725,549502729,0,43903785,True,2,4,,trunk,,False,454.64200000000005,"LINESTRING (139.9373041 36.5853394, 139.9350716 36.5874289, 139.9339957 36.5884475)",,,,
549502729,619215856,0,365790036,False,4,4,奥州街道,trunk,,False,30.689,"LINESTRING (139.9339957 36.5884475, 139.9342621 36.5886219)",,,,
549502729,619223621,0,365790036,False,4,4,奥州街道,trunk,,True,264.256,"LINESTRING (139.9339957 36.5884475, 139.9317783 36.5868734)",,,,
558287152,1307998091,0,43903779,True,3,4,石橋宇都宮バイパス,trunk,,False,87.154,"LINESTRING (139.9369417 36.5859683, 139.9375146 36.5853337)",,,,
614978749,3708887314,0,177769505,False,,,,unclassified,,True,10.167,"LINESTRING (139.9428055 36.5425471, 139.9427779 36.5424584)",,,,
614978749,963242535,0,366914881,True,2,123,水戸街道,trunk,,False,130.202,"LINESTRING (139.9428055 36.5425471, 139.943147 36.5424091, 139.9434024 36.542328, 139.9438304 36.5421926, 139.9441594 36.5421219)",,,,
614978763,1937141221,0,100770442,True,,,,tertiary,40,False,71.155,"LINESTRING (139.9383121 36.5452459, 139.939057 36.5450193)",,,,
614978763,3235953239,0,366914881,True,2,123,水戸街道,trunk,,False,93.95,"LINESTRING (139.9383121 36.5452459, 139.938557 36.5451283, 139.9392086 36.5448042)",,,,
619215522,619215529,0,1120931304,False,,,,tertiary,,True,35.699,"LINESTRING (139.9312252 36.5363378, 139.9308613 36.5364704)",,,,
619215522,1881823665,0,"[1120931304, 1120931305, 1120931306]",False,,,,tertiary,,False,20.788,"LINESTRING (139.9312252 36.5363378, 139.9312957 36.5363138, 139.9313925 36.5362808, 139.9314394 36.5362648)",yes,,,
619215529,619215522,0,1120931304,False,,,,tertiary,,False,35.699,"LINESTRING (139.9308613 36.5364704, 139.9312252 36.5363378)",,,,
619215529,1881249658,0,370396250,False,,,久部街道,tertiary,,True,90.94800000000001,"LINESTRING (139.9308613 36.5364704, 139.9305846 36.536582, 139.9303863 36.536662, 139.9299632 36.5368549)",,,,
